random_seed,fold,held_out_city,roc_auc,pr_auc,top_20_percent_precision
11,1,AMS,0.45893719806763283,0.2498602579761231,0.2222222222222222
11,2,JHB,0.5416666666666666,0.3557217394533571,0.25
11,3,LOA,0.49007936507936506,0.24338005027753037,0.21875
11,4,MEL,0.6376811594202898,0.28560168349170906,0.25
11,5,SPO,0.6825396825396824,0.3945436507936507,0.5
42,1,AMS,0.4774557165861514,0.2546928390157033,0.2222222222222222
42,2,JHB,0.537037037037037,0.37521850382381694,0.375
42,3,LOA,0.5069444444444444,0.2416744861233932,0.25
42,4,MEL,0.6322463768115942,0.2935153369804899,0.25
42,5,SPO,0.634920634920635,0.3803391053391053,0.5
73,1,AMS,0.4774557165861514,0.22728829082954538,0.16666666666666666
73,2,JHB,0.5185185185185186,0.3750421759612936,0.375
73,3,LOA,0.4928075396825397,0.254200748525286,0.1875
73,4,MEL,0.5905797101449275,0.25671882938506974,0.25
73,5,SPO,0.6666666666666667,0.3775910364145658,0.5
101,1,AMS,0.4919484702093398,0.2612119672239207,0.16666666666666666
101,2,JHB,0.5555555555555556,0.36409637833786446,0.5
101,3,LOA,0.486359126984127,0.22370732078041156,0.15625
101,4,MEL,0.6086956521739131,0.2711077056914537,0.25
101,5,SPO,0.5952380952380951,0.3151455026455026,0.3333333333333333
137,1,AMS,0.5008051529790661,0.23354597032178015,0.2222222222222222
137,2,JHB,0.5138888888888888,0.30592691622103385,0.25
137,3,LOA,0.5057043650793651,0.23986115800789856,0.21875
137,4,MEL,0.592391304347826,0.2662279637428767,0.25
137,5,SPO,0.6746031746031745,0.3689153439153439,0.5
