fold,held_out_city,model,test_grid_cells,actual_high_potential_cells,roc_auc,pr_auc,top_20_percent_precision
1,AMS,Random-ranking baseline,87,18,0.5,0.20689655172413793,0.20689655172413793
1,AMS,Logistic Regression,87,18,0.6296296296296297,0.36408529345398866,0.3888888888888889
1,AMS,SVM with RBF kernel,87,18,0.5499194847020934,0.23872343500512444,0.2777777777777778
1,AMS,HistGradientBoosting,87,18,0.5805152979066022,0.252865432541671,0.2777777777777778
1,AMS,Random Forest,87,18,0.5925925925925926,0.2861570084792173,0.2222222222222222
1,AMS,XGBoost,87,18,0.5668276972624798,0.29085363200855446,0.2222222222222222
1,AMS,CatBoost,87,18,0.4774557165861514,0.2546928390157033,0.2222222222222222
2,JHB,Random-ranking baseline,35,8,0.5,0.22857142857142856,0.22857142857142856
2,JHB,Logistic Regression,35,8,0.4907407407407408,0.24725179844665138,0.125
2,JHB,SVM with RBF kernel,35,8,0.5509259259259259,0.3744652551395972,0.25
2,JHB,HistGradientBoosting,35,8,0.5509259259259259,0.28511011047775753,0.25
2,JHB,Random Forest,35,8,0.5,0.3435826432022084,0.125
2,JHB,XGBoost,35,8,0.5370370370370371,0.2947916666666666,0.375
2,JHB,CatBoost,35,8,0.537037037037037,0.37521850382381694,0.375
3,LOA,Random-ranking baseline,158,32,0.5,0.20253164556962025,0.20253164556962025
3,LOA,Logistic Regression,158,32,0.5357142857142857,0.20968351733408486,0.09375
3,LOA,SVM with RBF kernel,158,32,0.5436507936507936,0.22150685052095342,0.21875
3,LOA,HistGradientBoosting,158,32,0.49429563492063494,0.2606340168931525,0.25
3,LOA,Random Forest,158,32,0.5009920634920635,0.2570030291210573,0.21875
3,LOA,XGBoost,158,32,0.5013640873015873,0.2872143973016303,0.3125
3,LOA,CatBoost,158,32,0.5069444444444444,0.2416744861233932,0.25
4,MEL,Random-ranking baseline,58,12,0.5,0.20689655172413793,0.20689655172413793
4,MEL,Logistic Regression,58,12,0.572463768115942,0.24405819437332044,0.08333333333333333
4,MEL,SVM with RBF kernel,58,12,0.592391304347826,0.27003736668705547,0.16666666666666666
4,MEL,HistGradientBoosting,58,12,0.5670289855072463,0.24586386567746216,0.25
4,MEL,Random Forest,58,12,0.592391304347826,0.2610575523404471,0.25
4,MEL,XGBoost,58,12,0.5090579710144928,0.22966333434282232,0.25
4,MEL,CatBoost,58,12,0.6322463768115942,0.2935153369804899,0.25
5,SPO,Random-ranking baseline,27,6,0.5,0.2222222222222222,0.2222222222222222
5,SPO,Logistic Regression,27,6,0.7301587301587302,0.43165306915306917,0.3333333333333333
5,SPO,SVM with RBF kernel,27,6,0.6825396825396826,0.3463203463203463,0.3333333333333333
5,SPO,HistGradientBoosting,27,6,0.6428571428571429,0.40811688311688304,0.5
5,SPO,Random Forest,27,6,0.6587301587301588,0.3798460798460798,0.3333333333333333
5,SPO,XGBoost,27,6,0.6746031746031746,0.3854016354016354,0.3333333333333333
5,SPO,CatBoost,27,6,0.634920634920635,0.3803391053391053,0.5
