fold,held_out_city,model,test_grid_cells,actual_high_potential_cells,roc_auc,pr_auc,top_20_percent_precision
1,AMS,Prevalence baseline,87,18,0.5,0.20689655172413793,0.3333333333333333
1,AMS,Logistic regression,87,18,0.6658615136876006,0.3607543506378239,0.3888888888888889
1,AMS,SVM with RBF kernel,87,18,0.37359098228663445,0.17709268360942237,0.1111111111111111
1,AMS,HistGradientBoosting,87,18,0.5913848631239935,0.32041252504177364,0.3333333333333333
1,AMS,Random Forest,87,18,0.5974235104669887,0.2891260838526807,0.2777777777777778
2,JHB,Prevalence baseline,35,8,0.5,0.22857142857142856,0.125
2,JHB,Logistic regression,35,8,0.513888888888889,0.26125116713352003,0.125
2,JHB,SVM with RBF kernel,35,8,0.4537037037037037,0.36999065512492624,0.25
2,JHB,HistGradientBoosting,35,8,0.5740740740740741,0.38795757334063785,0.375
2,JHB,Random Forest,35,8,0.5092592592592593,0.3472809829059829,0.125
3,LOA,Prevalence baseline,158,32,0.5,0.20253164556962025,0.25
3,LOA,Logistic regression,158,32,0.5401785714285714,0.2108647001883355,0.15625
3,LOA,SVM with RBF kernel,158,32,0.4469246031746032,0.19330475570314287,0.125
3,LOA,HistGradientBoosting,158,32,0.49045138888888895,0.2763099653623283,0.3125
3,LOA,Random Forest,158,32,0.4982638888888889,0.25462789482616005,0.21875
4,MEL,Prevalence baseline,58,12,0.5,0.20689655172413793,0.25
4,MEL,Logistic regression,58,12,0.6105072463768116,0.27533634745658053,0.16666666666666666
4,MEL,SVM with RBF kernel,58,12,0.3713768115942029,0.16852174026489358,0.08333333333333333
4,MEL,HistGradientBoosting,58,12,0.5407608695652173,0.3053710047813821,0.25
4,MEL,Random Forest,58,12,0.6032608695652174,0.2742451054951055,0.25
5,SPO,Prevalence baseline,27,6,0.5,0.2222222222222222,0.3333333333333333
5,SPO,Logistic regression,27,6,0.7222222222222222,0.42757936507936506,0.3333333333333333
5,SPO,SVM with RBF kernel,27,6,0.23809523809523808,0.16757936507936508,0.0
5,SPO,HistGradientBoosting,27,6,0.6746031746031746,0.38563311688311686,0.3333333333333333
5,SPO,Random Forest,27,6,0.6507936507936508,0.3737854737854738,0.3333333333333333
