fold,held_out_city,model,test_records,mae_log,mae_raw,rmse_raw,r2_raw
1,AMS,City-balanced median baseline,15921,1.5350698361705089,29.730694227068994,53.365435267917064,-0.3186669343712001
1,AMS,Ridge regression,15921,1.6964315527351312,30.74226186643286,53.734100436961526,-0.33694939725489426
1,AMS,HistGradientBoosting,15921,1.5377006596880476,29.80134512243648,53.39291562654212,-0.3200253706046159
2,JHB,City-balanced median baseline,6405,1.0658684631968214,6.373685099704237,6.922975341764442,-1.5867432225696483
2,JHB,Ridge regression,6405,1.1051080202388555,6.976974061909239,7.736931046232662,-2.230763762526926
2,JHB,HistGradientBoosting,6405,1.1173956575438877,7.402790639607853,8.459025128992257,-2.8619654183571765
3,LOA,City-balanced median baseline,28914,0.6094941925943217,6.686801812756091,14.23644710992452,-0.11878207710615363
3,LOA,Ridge regression,28914,0.6425394503781592,6.9158448390256595,14.460037458014776,-0.15420007531460334
3,LOA,HistGradientBoosting,28914,0.7950166297113912,7.933424515721311,15.257602179693448,-0.28503464495012554
4,MEL,City-balanced median baseline,10614,1.336967100698031,25.71648795536742,40.56374916446707,-0.5995417569316857
4,MEL,Ridge regression,10614,1.7266628289458565,27.71849954600932,42.16967637675153,-0.7287012312631029
4,MEL,HistGradientBoosting,10614,1.6901804684408932,27.5367922334807,42.01975184886541,-0.7164310873913684
5,SPO,City-balanced median baseline,4941,0.9932487817747797,6.012929267521026,6.665510301779843,-0.7851946151442408
5,SPO,Ridge regression,4941,1.0699953109313913,7.1090453712789765,8.163607085582052,-1.6778296634752792
5,SPO,HistGradientBoosting,4941,0.9239937615817123,5.639179067914772,7.036788353588681,-0.9896090054820286
