city_code,poi_group,poi_count
AMS,education,458
AMS,food_commerce,3734
AMS,healthcare,278
AMS,parking_mobility,22775
AMS,public_services,4073
AMS,recreation,4309
AMS,unmapped_or_other,15713
JHB,education,794
JHB,food_commerce,1700
JHB,healthcare,359
JHB,parking_mobility,2161
JHB,public_services,620
JHB,recreation,235
JHB,unmapped_or_other,41619
LOA,education,1316
LOA,food_commerce,4832
LOA,healthcare,522
LOA,parking_mobility,8395
LOA,public_services,2265
LOA,recreation,1197
LOA,unmapped_or_other,24255
MEL,education,2532
MEL,food_commerce,10478
MEL,healthcare,2221
MEL,parking_mobility,57676
MEL,public_services,8960
MEL,recreation,9129
MEL,unmapped_or_other,526810
SPO,education,1791
SPO,food_commerce,5496
SPO,healthcare,1642
SPO,parking_mobility,10712
SPO,public_services,1929
SPO,recreation,566
SPO,unmapped_or_other,27583
