city_code,poi_type,poi_count
AMS,parking_space,17656
AMS,other,13970
AMS,bench,4090
AMS,parking,2694
AMS,recycling,1797
AMS,restaurant,1684
AMS,bicycle_parking,1503
AMS,waste_basket,1086
AMS,fast_food,636
AMS,cafe,632
AMS,drinking_water,526
AMS,charging_station,520
AMS,pub,394
AMS,waste_disposal,326
AMS,post_box,295
AMS,school,293
AMS,vending_machine,266
AMS,parking_entrance,258
AMS,bar,208
AMS,place_of_worship,168
AMS,atm,137
AMS,shelter,129
AMS,toilets,129
AMS,public_bookcase,121
AMS,brothel,100
AMS,pharmacy,79
AMS,clock,78
AMS,fountain,77
AMS,kindergarten,76
AMS,dentist,71
AMS,theatre,70
AMS,community_centre,66
AMS,doctors,62
AMS,bicycle_rental,58
AMS,fuel,55
AMS,ice_cream,49
AMS,nightclub,41
AMS,ferry_terminal,41
AMS,arts_centre,38
AMS,motorcycle_parking,37
AMS,clinic,36
AMS,library,34
AMS,social_facility,33
AMS,taxi,33
AMS,college,32
AMS,car_wash,32
AMS,weighbridge,30
AMS,childcare,28
AMS,post_office,24
AMS,veterinary,23
AMS,bank,23
AMS,university,23
AMS,car_sharing,21
AMS,police,21
AMS,cinema,20
AMS,marketplace,20
AMS,car_rental,18
AMS,fire_station,15
AMS,ticket_validator,15
AMS,events_venue,15
AMS,boat_rental,14
AMS,studio,13
AMS,shower,11
AMS,letter_box,10
AMS,vacuum_cleaner,10
AMS,nursing_home,10
AMS,bureau_de_change,10
AMS,bbq,9
AMS,townhall,9
AMS,music_school,8
AMS,coworking_space,8
AMS,cannabis,8
AMS,stripclub,8
AMS,casino,8
AMS,hospital,7
AMS,conference_centre,7
AMS,compressed_air,7
AMS,coffeeshop,7
AMS,bus_station,6
AMS,grit_bin,6
AMS,driving_school,6
AMS,public_building,6
AMS,language_school,5
AMS,grave_yard,5
AMS,lost_found,4
AMS,telephone,4
AMS,social_centre,4
AMS,water_point,3
AMS,loading_dock,3
AMS,sanitary_dump_station,3
AMS,bicycle_repair_station,3
AMS,money_transfer,3
AMS,courthouse,3
AMS,archive,3
AMS,funeral_hall,3
AMS,piano,3
AMS,watering_place,3
AMS,waste_transfer_station,3
AMS,biergarten,3
AMS,reception_desk,3
AMS,parcel_locker,3
AMS,food_court,3
AMS,animal_shelter,2
AMS,crematorium,2
AMS,mirror_adjustment_site,2
AMS,art_gallery,2
AMS,spa,2
AMS,blood_bank,2
AMS,smoking_area,2
AMS,seat,2
AMS,place_of_mourning,2
AMS,elevator,2
AMS,internet_cafe,2
AMS,training,2
AMS,dojo,2
AMS,parking_exit,2
AMS,locker,2
AMS,coffee_shop,2
AMS,accupuncture,2
AMS,post_depot,2
AMS,sport_school,1
AMS,kitchen_studio,1
AMS,prison,1
AMS,fablab,1
AMS,health_centre,1
AMS,concert_hall,1
AMS,hair_clinic,1
AMS,photo_booth,1
AMS,dog_toilet,1
AMS,Wellness,1
AMS,chocolate,1
AMS,vacant,1
AMS,festival_grounds,1
AMS,tourist_bus_parking,1
AMS,mirror_setting_marks,1
AMS,bus_parking,1
AMS,horse_parking,1
AMS,research_institute,1
AMS,fraternity,1
AMS,binoculars,1
AMS,disused,1
AMS,educational_institution,1
AMS,teeth_whitening,1
AMS,lockers,1
AMS,bell,1
AMS,payment_terminal,1
AMS,table,1
AMS,dental_hygienist,1
AMS,chiropractic,1
AMS,healthcare,1
AMS,segway_rental,1
AMS,sailing_school,1
AMS,cultural_centre,1
AMS,pic_nick,1
AMS,meeting_point,1
AMS,health_post,1
AMS,animal_training,1
JHB,other,41321
JHB,parking,1391
JHB,restaurant,664
JHB,school,657
JHB,fuel,520
JHB,fast_food,391
JHB,place_of_worship,335
JHB,cafe,183
JHB,atm,178
JHB,bank,160
JHB,shelter,149
JHB,pharmacy,130
JHB,bus_station,95
JHB,clinic,79
JHB,toilets,69
JHB,post_office,65
JHB,hospital,63
JHB,parking_entrance,61
JHB,pub,54
JHB,police,49
JHB,kindergarten,48
JHB,bar,47
JHB,bench,44
JHB,college,36
JHB,dentist,35
JHB,taxi,34
JHB,fountain,33
JHB,events_venue,32
JHB,car_wash,31
JHB,doctors,30
JHB,fire_station,30
JHB,university,27
JHB,community_centre,27
JHB,library,26
JHB,theatre,23
JHB,recycling,22
JHB,marketplace,22
JHB,veterinary,22
JHB,social_facility,20
JHB,cinema,19
JHB,waste_basket,18
JHB,childcare,17
JHB,parking_space,15
JHB,courthouse,14
JHB,telephone,14
JHB,car_rental,13
JHB,post_box,12
JHB,ice_cream,10
JHB,grave_yard,10
JHB,bureau_de_change,9
JHB,studio,8
JHB,arts_centre,8
JHB,driving_school,7
JHB,animal_shelter,7
JHB,nightclub,7
JHB,conference_centre,6
JHB,waste_disposal,6
JHB,prison,5
JHB,vending_machine,5
JHB,tavern,5
JHB,townhall,4
JHB,casino,4
JHB,waste_transfer_station,3
JHB,animal_boarding,3
JHB,gambling,3
JHB,ranger_station,2
JHB,drinking_water,2
JHB,social_centre,2
JHB,public_building,2
JHB,dojo,2
JHB,clock,2
JHB,danger junkie yard,1
JHB,church,1
JHB,hardware,1
JHB,Autoglass repair,1
JHB,Optromitis,1
JHB,Pool Hall,1
JHB,fule,1
JHB,Car Workshop,1
JHB,car_pooling,1
JHB,fixme,1
JHB,dressing_room,1
JHB,music_school,1
JHB,research_institute,1
JHB,language_school,1
JHB,mall,1
JHB,rail,1
JHB,Sports Ground,1
JHB,weighbridge,1
JHB,parcel_locker,1
JHB,prep_school,1
JHB,bottle store,1
JHB,disused,1
JHB,nursing_home,1
JHB,danger illegal activity,1
JHB,Edgar Flat 1,1
JHB,school/ Orphanage,1
