feature,transformation,reference_city,reference_units,shenzhen_units,reference_median,shenzhen_median,standardized_mean_difference,wasserstein_distance,ks_statistic,ks_p_value,shenzhen_within_city_range_percent
total_poi_within_500m,log1p,AMS,87,275,5.158416525638034,6.333279628139691,0.9856095334636585,1.1004150787968636,0.4677115987460815,1.1855390628427768e-13,89.81818181818181
total_poi_within_500m,log1p,JHB,35,275,4.001254139156089,6.333279628139691,2.132449739484221,2.283430075782356,0.7797402597402597,5.880030194752517e-20,25.09090909090909
total_poi_within_500m,log1p,LOA,158,275,0.6931471805599453,6.333279628139691,2.697602408698906,4.34640465570623,0.8084925201380898,1.236166467108936e-66,28.363636363636363
total_poi_within_500m,log1p,MEL,58,275,5.692034421422612,6.333279628139691,0.5325015534242481,0.6029660724848599,0.2900940438871473,0.00045650742179171363,92.0
total_poi_within_500m,log1p,SPO,27,275,4.499809670330265,6.333279628139691,1.6382779717720584,1.667189156366769,0.64,3.17899756987714e-10,34.909090909090914
total_poi_within_1000m,log1p,AMS,87,275,6.6420521132491315,7.764030578446306,1.2748985862905602,1.2470916363206053,0.5513479623824451,3.922761158158613e-19,83.63636363636363
total_poi_within_1000m,log1p,JHB,35,275,5.056245805348308,7.764030578446306,2.9217306978872823,2.581913093930424,0.8877922077922078,4.187112147138333e-28,20.363636363636363
total_poi_within_1000m,log1p,LOA,158,275,2.9944807084449314,7.764030578446306,2.6621377726101043,4.99524651635057,0.8892980437284235,1.3469719398065715e-84,20.0
total_poi_within_1000m,log1p,MEL,58,275,6.753676816161553,7.764030578446306,1.0441477340037157,0.9053883636737629,0.4604388714733542,9.456856564332013e-10,92.0
total_poi_within_1000m,log1p,SPO,27,275,5.8805329864007,7.764030578446306,2.0749343663356576,1.706938490615503,0.7556902356902357,8.650637718975939e-15,26.545454545454543
population_3x3_sum,log1p,AMS,87,275,10.483065418673853,11.50690144743257,1.2839919242597382,1.0215986537913335,0.5512225705329153,4.162714045801863e-19,66.54545454545455
population_3x3_sum,log1p,JHB,35,275,10.010409651064602,11.50690144743257,2.0934907404594143,1.5209499746126443,0.8623376623376623,8.249147651257315e-26,70.54545454545455
population_3x3_sum,log1p,LOA,158,275,10.375222847257259,11.50690144743257,1.3196774145686931,1.1924567366984975,0.6254775604142693,2.0679341909583706e-37,66.18181818181819
population_3x3_sum,log1p,MEL,58,275,9.999587513353031,11.50690144743257,1.88865387547047,1.4882280978955742,0.7446394984326019,5.519470436546827e-27,40.72727272727273
population_3x3_sum,log1p,SPO,27,275,11.30080847731482,11.50690144743257,0.1500356000377953,0.3050974020758253,0.2191245791245791,0.16066709700670667,77.0909090909091
built_surface_fraction_3x3,none,AMS,87,275,0.1935518888888888,0.2242087777777777,0.3416939760672571,0.023585746671310803,0.20894461859979102,0.005138259946168656,97.0909090909091
built_surface_fraction_3x3,none,JHB,35,275,0.3027413333333333,0.2242087777777777,-1.031545130795543,0.06836281275613279,0.4961038961038961,1.5300210345252117e-07,94.54545454545455
built_surface_fraction_3x3,none,LOA,158,275,0.3346192222222222,0.2242087777777777,-1.5033064435653003,0.0988773299552487,0.6079861910241657,3.3062963063329963e-35,98.54545454545455
built_surface_fraction_3x3,none,MEL,58,275,0.28498494444444444,0.2242087777777777,-0.6918805573921842,0.04974463415534658,0.4369905956112853,8.37930373405621e-09,99.63636363636364
built_surface_fraction_3x3,none,SPO,27,275,0.3890795555555555,0.2242087777777777,-2.683760458056507,0.159142239446315,0.8597979797979798,1.5117081740678143e-20,37.09090909090909
total_chargers,log1p,AMS,87,275,3.1780538303479458,3.8918202981106265,0.7273346312661207,0.76720517222981,0.2993103448275862,9.618941270954755e-06,96.0
total_chargers,log1p,JHB,35,275,0.6931471805599453,3.8918202981106265,4.496367250618319,2.9369751863239197,0.9818181818181818,6.341131472378475e-41,1.8181818181818181
total_chargers,log1p,LOA,158,275,1.0986122886681098,3.8918202981106265,3.6300789709185364,2.6000709267268993,0.9283544303797469,2.968128178451118e-95,12.363636363636363
total_chargers,log1p,MEL,58,275,0.6931471805599453,3.8918202981106265,5.253886831272523,3.105728607718139,1.0,4.5952562177258167e-66,0.0
total_chargers,log1p,SPO,27,275,0.6931471805599453,3.8918202981106265,4.47851263759701,2.8696005161525706,0.9854545454545455,2.488056313458851e-34,1.4545454545454546
station_count,log1p,AMS,87,275,2.8903717578961645,1.6094379124341003,-1.2613865326552454,1.184883798007431,0.530491118077325,1.1860245321097372e-17,100.0
station_count,log1p,JHB,35,275,0.6931471805599453,1.6094379124341003,1.5914255819568015,0.7577466187620727,0.6005194805194806,3.9509133949087484e-11,47.27272727272727
station_count,log1p,LOA,158,275,0.6931471805599453,1.6094379124341003,1.4954428044884756,0.7212843105848232,0.5586651323360184,1.8638456114144744e-29,67.63636363636364
station_count,log1p,MEL,58,275,0.6931471805599453,1.6094379124341003,1.8806607703561065,0.8483484202655569,0.7428840125391849,7.546081068434877e-27,35.27272727272727
station_count,log1p,SPO,27,275,0.6931471805599453,1.6094379124341003,1.2552168781373632,0.6435285794010424,0.49023569023569025,5.952493462348962e-06,80.0
