city_code,poi_type,poi_count
AMS,other,13970
AMS,waste_disposal,326
AMS,vending_machine,266
AMS,public_bookcase,121
AMS,brothel,100
AMS,clock,78
AMS,fountain,77
AMS,community_centre,66
AMS,bicycle_rental,58
AMS,ice_cream,49
AMS,ferry_terminal,41
AMS,nightclub,41
AMS,arts_centre,38
AMS,motorcycle_parking,37
AMS,social_facility,33
AMS,weighbridge,30
AMS,childcare,28
AMS,car_sharing,21
AMS,events_venue,15
AMS,ticket_validator,15
AMS,boat_rental,14
AMS,studio,13
AMS,shower,11
AMS,vacuum_cleaner,10
AMS,nursing_home,10
AMS,letter_box,10
AMS,bureau_de_change,10
AMS,bbq,9
AMS,coworking_space,8
AMS,music_school,8
AMS,casino,8
AMS,stripclub,8
AMS,cannabis,8
AMS,coffeeshop,7
AMS,compressed_air,7
AMS,conference_centre,7
AMS,public_building,6
AMS,driving_school,6
AMS,grit_bin,6
AMS,grave_yard,5
AMS,language_school,5
AMS,social_centre,4
AMS,lost_found,4
AMS,telephone,4
AMS,funeral_hall,3
AMS,money_transfer,3
AMS,food_court,3
AMS,loading_dock,3
AMS,water_point,3
AMS,parcel_locker,3
AMS,archive,3
AMS,bicycle_repair_station,3
AMS,sanitary_dump_station,3
AMS,piano,3
AMS,waste_transfer_station,3
AMS,biergarten,3
AMS,reception_desk,3
AMS,watering_place,3
AMS,locker,2
AMS,training,2
AMS,place_of_mourning,2
AMS,coffee_shop,2
AMS,seat,2
AMS,spa,2
AMS,blood_bank,2
AMS,elevator,2
AMS,crematorium,2
AMS,smoking_area,2
AMS,mirror_adjustment_site,2
AMS,animal_shelter,2
AMS,art_gallery,2
AMS,internet_cafe,2
AMS,accupuncture,2
AMS,parking_exit,2
AMS,dojo,2
AMS,post_depot,2
AMS,horse_parking,1
AMS,photo_booth,1
AMS,mirror_setting_marks,1
AMS,segway_rental,1
AMS,prison,1
AMS,cultural_centre,1
AMS,concert_hall,1
AMS,hair_clinic,1
AMS,dog_toilet,1
AMS,healthcare,1
AMS,bus_parking,1
AMS,festival_grounds,1
AMS,kitchen_studio,1
AMS,tourist_bus_parking,1
AMS,sport_school,1
AMS,fraternity,1
AMS,research_institute,1
AMS,chiropractic,1
AMS,health_post,1
AMS,wellness,1
AMS,educational_institution,1
AMS,disused,1
AMS,teeth_whitening,1
AMS,chocolate,1
AMS,table,1
AMS,binoculars,1
AMS,vacant,1
AMS,health_centre,1
AMS,lockers,1
AMS,bell,1
AMS,sailing_school,1
AMS,payment_terminal,1
AMS,pic_nick,1
AMS,dental_hygienist,1
AMS,fablab,1
AMS,meeting_point,1
AMS,animal_training,1
JHB,other,41321
JHB,fountain,33
JHB,events_venue,32
JHB,community_centre,27
JHB,social_facility,20
JHB,childcare,17
JHB,telephone,14
JHB,ice_cream,10
JHB,grave_yard,10
JHB,bureau_de_change,9
JHB,arts_centre,8
JHB,studio,8
JHB,animal_shelter,7
JHB,driving_school,7
JHB,nightclub,7
JHB,conference_centre,6
JHB,waste_disposal,6
JHB,prison,5
JHB,tavern,5
JHB,vending_machine,5
JHB,casino,4
JHB,waste_transfer_station,3
JHB,animal_boarding,3
JHB,gambling,3
JHB,ranger_station,2
JHB,social_centre,2
JHB,dojo,2
JHB,clock,2
JHB,public_building,2
JHB,danger illegal activity,1
JHB,disused,1
JHB,prep_school,1
JHB,autoglass repair,1
JHB,stripclub,1
JHB,creche,1
JHB,fule,1
JHB,car workshop,1
JHB,church,1
JHB,car_pooling,1
JHB,dressing_room,1
JHB,music_school,1
JHB,research_institute,1
JHB,language_school,1
JHB,rail,1
JHB,convention_centre,1
JHB,weighbridge,1
JHB,parcel_locker,1
JHB,fixme,1
JHB,nursing_home,1
JHB,boxing gym,1
JHB,food_court,1
JHB,danger junkie yard,1
JHB,edgar flat 1,1
JHB,school/ orphanage,1
JHB,bottle store,1
JHB,sports ground,1
JHB,planetarium,1
JHB,hardware,1
JHB,optromitis,1
JHB,friendly seven-eleven,1
JHB,internet_cafe,1
JHB,ticket_office,1
JHB,george flat,1
JHB,vehicle_inspection,1
JHB,pool hall,1
JHB,funeral_parlour,1
JHB,"pizza, pasta",1
JHB,trolley_bay,1
LOA,other,22633
LOA,fountain,195
LOA,social_facility,188
LOA,whirlpool,147
LOA,bicycle_rental,127
LOA,ice_cream,104
LOA,community_centre,98
LOA,vending_machine,96
LOA,studio,67
LOA,waste_disposal,49
LOA,public_bookcase,39
LOA,nightclub,33
LOA,bicycle_repair_station,29
LOA,grave_yard,25
LOA,dojo,24
LOA,events_venue,23
LOA,animal_boarding,21
LOA,arts_centre,18
LOA,telephone,17
LOA,childcare,17
LOA,food_court,15
LOA,animal_shelter,12
