city_code,city_name,grid_id,grid_total_chargers,grid_station_count
LOA,Los Angeles,LOA_32611_241_2509,15,3
LOA,Los Angeles,LOA_32611_241_2510,6,5
LOA,Los Angeles,LOA_32611_241_2511,1,1
LOA,Los Angeles,LOA_32611_242_2509,1,1
LOA,Los Angeles,LOA_32611_242_2510,2,1
LOA,Los Angeles,LOA_32611_246_2502,2,2
LOA,Los Angeles,LOA_32611_247_2489,1,1
LOA,Los Angeles,LOA_32611_247_2495,1,1
LOA,Los Angeles,LOA_32611_247_2496,1,1
LOA,Los Angeles,LOA_32611_247_2497,3,2
LOA,Los Angeles,LOA_32611_247_2500,2,1
LOA,Los Angeles,LOA_32611_247_2501,10,2
LOA,Los Angeles,LOA_32611_247_2502,1,1
LOA,Los Angeles,LOA_32611_248_2495,1,1
LOA,Los Angeles,LOA_32611_248_2496,4,1
LOA,Los Angeles,LOA_32611_248_2499,1,1
LOA,Los Angeles,LOA_32611_248_2500,3,1
LOA,Los Angeles,LOA_32611_248_2501,1,1
LOA,Los Angeles,LOA_32611_248_2507,1,1
LOA,Los Angeles,LOA_32611_249_2491,3,1
LOA,Los Angeles,LOA_32611_249_2492,1,1
LOA,Los Angeles,LOA_32611_249_2494,3,2
LOA,Los Angeles,LOA_32611_249_2496,7,3
LOA,Los Angeles,LOA_32611_249_2497,2,1
LOA,Los Angeles,LOA_32611_249_2498,1,1
LOA,Los Angeles,LOA_32611_249_2502,2,1
LOA,Los Angeles,LOA_32611_250_2493,1,1
LOA,Los Angeles,LOA_32611_250_2494,11,4
LOA,Los Angeles,LOA_32611_250_2496,2,1
LOA,Los Angeles,LOA_32611_250_2498,1,1
LOA,Los Angeles,LOA_32611_250_2499,1,1
LOA,Los Angeles,LOA_32611_250_2504,4,1
LOA,Los Angeles,LOA_32611_250_2521,1,1
LOA,Los Angeles,LOA_32611_251_2493,1,1
LOA,Los Angeles,LOA_32611_251_2494,3,2
LOA,Los Angeles,LOA_32611_251_2497,2,1
LOA,Los Angeles,LOA_32611_251_2502,3,2
LOA,Los Angeles,LOA_32611_251_2520,2,1
LOA,Los Angeles,LOA_32611_251_2523,1,1
LOA,Los Angeles,LOA_32611_252_2521,1,1
LOA,Los Angeles,LOA_32611_252_2522,3,2
LOA,Los Angeles,LOA_32611_253_2521,7,2
LOA,Los Angeles,LOA_32611_253_2522,7,1
LOA,Los Angeles,LOA_32611_255_2496,3,1
LOA,Los Angeles,LOA_32611_255_2497,3,1
LOA,Los Angeles,LOA_32611_255_2520,1,1
LOA,Los Angeles,LOA_32611_256_2518,1,1
LOA,Los Angeles,LOA_32611_256_2519,3,2
LOA,Los Angeles,LOA_32611_256_2520,4,1
LOA,Los Angeles,LOA_32611_257_2518,3,1
LOA,Los Angeles,LOA_32611_257_2520,6,3
LOA,Los Angeles,LOA_32611_258_2490,4,1
LOA,Los Angeles,LOA_32611_258_2492,1,1
LOA,Los Angeles,LOA_32611_258_2493,2,1
LOA,Los Angeles,LOA_32611_259_2491,9,4
LOA,Los Angeles,LOA_32611_259_2497,5,2
LOA,Los Angeles,LOA_32611_260_2491,1,1
LOA,Los Angeles,LOA_32611_260_2494,1,1
LOA,Los Angeles,LOA_32611_260_2495,1,1
LOA,Los Angeles,LOA_32611_260_2498,1,1
LOA,Los Angeles,LOA_32611_260_2499,3,1
LOA,Los Angeles,LOA_32611_261_2494,3,1
LOA,Los Angeles,LOA_32611_261_2500,1,1
LOA,Los Angeles,LOA_32611_261_2501,1,1
LOA,Los Angeles,LOA_32611_262_2502,1,1
LOA,Los Angeles,LOA_32611_262_2505,1,1
