dataset,column_name
CHARGED,built_surface_fraction_3x3_percentile
CHARGED,poi_1000m_percentile
CHARGED,poi_500m_percentile
CHARGED,poi_locality_ratio
CHARGED,population_3x3_sum_percentile
UrbanEV_Shenzhen,area
UrbanEV_Shenzhen,built_surface_fraction_3x3
UrbanEV_Shenzhen,built_surface_fraction_3x3_percentile
UrbanEV_Shenzhen,mean_daily_duration_per_charger
UrbanEV_Shenzhen,poi_1000m_percentile
UrbanEV_Shenzhen,poi_500m_percentile
UrbanEV_Shenzhen,poi_locality_ratio
UrbanEV_Shenzhen,population_3x3_sum
UrbanEV_Shenzhen,population_3x3_sum_percentile
UrbanEV_Shenzhen,station_count
UrbanEV_Shenzhen,total_chargers
UrbanEV_Shenzhen,total_poi_within_1000m
UrbanEV_Shenzhen,total_poi_within_500m
