fold,held_out_city,model,test_grid_cells,spearman_correlation,mae_percentile,actual_high_potential_cells,correctly_retrieved_high_cells,top_20_percent_precision
1,AMS,Median baseline,87,,0.2500651152256384,18,1,0.05555555555555555
1,AMS,Ridge ranking model,87,-0.0769497235839748,0.25022320672862297,18,7,0.3888888888888889
1,AMS,Random forest ranking model,87,0.019014110802673703,0.2516218208917499,18,2,0.1111111111111111
2,JHB,Median baseline,35,,0.24988036593947927,8,2,0.25
2,JHB,Ridge ranking model,35,0.09880871381999815,0.2512080613642873,8,1,0.125
2,JHB,Random forest ranking model,35,-0.0585844572719989,0.2528931113478548,8,4,0.5
3,LOA,Median baseline,158,,0.25012131755442124,32,7,0.21875
3,LOA,Ridge ranking model,158,0.06367953948716891,0.2503268790168431,32,4,0.125
3,LOA,Random forest ranking model,158,0.07763244766147166,0.25406010537754353,32,6,0.1875
4,MEL,Median baseline,58,,0.25,12,2,0.16666666666666666
4,MEL,Ridge ranking model,58,-0.19388477037128182,0.2624361716168314,12,1,0.08333333333333333
4,MEL,Random forest ranking model,58,-0.06647389953551325,0.2654131266600346,12,4,0.3333333333333333
5,SPO,Median baseline,27,,0.24987411227448733,6,1,0.16666666666666666
5,SPO,Ridge ranking model,27,0.18448384627254505,0.24977995642696804,6,2,0.3333333333333333
5,SPO,Random forest ranking model,27,0.3029933369244448,0.237742136373994,6,2,0.3333333333333333
