fold,held_out_city,model,test_grid_cells,positive_cells,roc_auc,pr_auc,top_20_percent_precision
1,AMS,Prevalence baseline,87,18,0.5,0.20689655172413793,0.05555555555555555
1,AMS,Logistic classifier,87,18,0.6658615136876006,0.3607543506378239,0.3888888888888889
1,AMS,Random forest classifier,87,18,0.47987117552334946,0.24741464618072906,0.16666666666666666
2,JHB,Prevalence baseline,35,8,0.5,0.22857142857142856,0.25
2,JHB,Logistic classifier,35,8,0.513888888888889,0.26125116713352003,0.125
2,JHB,Random forest classifier,35,8,0.6111111111111112,0.40086174242424244,0.375
3,LOA,Prevalence baseline,158,32,0.5,0.20253164556962025,0.21875
3,LOA,Logistic classifier,158,32,0.5401785714285714,0.2108647001883355,0.15625
3,LOA,Random forest classifier,158,32,0.4766865079365079,0.25920289718459966,0.21875
4,MEL,Prevalence baseline,58,12,0.5,0.20689655172413793,0.16666666666666666
4,MEL,Logistic classifier,58,12,0.6105072463768116,0.27533634745658053,0.16666666666666666
4,MEL,Random forest classifier,58,12,0.5996376811594203,0.2701765151055931,0.25
5,SPO,Prevalence baseline,27,6,0.5,0.2222222222222222,0.16666666666666666
5,SPO,Logistic classifier,27,6,0.7222222222222222,0.42757936507936506,0.3333333333333333
5,SPO,Random forest classifier,27,6,0.6428571428571429,0.36013708513708514,0.5
