candidate_rank,grid_id,predicted_probability,priority_rank,longitude,latitude,nearest_road,snap_distance_m,distance_to_existing_charger_m,restriction_screen_passed,reverse_geocoded_address,neighborhood_or_district
1,ISF_0095,0.9571624333434771,2,51.56316898543398,32.750436055716136,رحمانی,13.035218171915743,15229.004035186568,True,"رحمانی, منطقه ۱۲, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81891-78599, ایران",منطقه ۱۲
2,ISF_2153,0.9471864133294914,5,51.82373497173119,32.65416496512872,شهید مهدی ربانی,1.6729510371124945,12440.645055532801,True,"شهید مهدی ربانی, گورت, منطقه ۱۵, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81551-39998, ایران",گورت
3,ISF_0984,0.9435215577277017,6,51.659603251711324,32.74550521783724,آزادگان,47.26114491132533,11461.030209959938,True,"آزادگان, شهرک ولی عصر, مرز محله, منطقه ۷, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81961-64738, ایران",مرز محله
4,ISF_0506,0.9339037996912587,8,51.61315996342214,32.75764720728284,امیرکبیر,247.1837829900079,13861.660640178488,True,"امیرکبیر, شهرک صنعتی امیرکبیر, منطقه ۱۲, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81951-16791, ایران",منطقه ۱۲
5,ISF_1943,0.9332773301881672,10,51.786342796124046,32.66811069848311,Unnamed mapped road,25.548839250619377,9365.296429840511,True,"منطقه ۱۵, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81551-39998, ایران",منطقه ۱۵
6,ISF_1864,0.9330040398215083,11,51.77662320967249,32.58331734108816,Unnamed mapped road,155.71582382679927,10121.507356444892,True,"منطقه ۴, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81661-81006, ایران",منطقه ۴
7,ISF_1768,0.9296491141994798,16,51.75473489926797,32.67707082386069,Unnamed mapped road,15.0100995429994,7133.380057905783,True,"راران, منطقه ۱۵, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81561-66499, ایران",راران
8,ISF_1532,0.9264848501755366,18,51.72397473376268,32.61001724146279,بوستان,181.05223448429462,4428.274713744516,True,"بوستان, کوی شهید کشوری, منطقه ۶, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81581-84389, ایران",کوی شهید کشوری
9,ISF_0995,0.9136252460492268,25,51.66336837961489,32.536757698407726,کمربندی غرب اصفهان,129.13707931090738,5871.510360552398,True,"کمربندی غرب اصفهان, سپاهان شهر, منطقه ۵, سپاهان شهر, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81799-87855, ایران",سپاهان شهر
10,ISF_0843,0.9035506414244427,40,51.64758417375007,32.62354069891749,جهاندار,11.045615449599007,2501.2388718831435,True,"جهاندار, حسین آباد, منطقه ۵, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81759-71961, ایران",حسین آباد
11,ISF_0523,0.9033214430295382,41,51.61557246591164,32.614789603099204,شهرداری,3.4212170918979354,4620.640901444674,True,"شهرداری, کشاورزی, دستگرد خیار, منطقه ۱۳, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81748-86716, ایران",کشاورزی
12,ISF_1901,0.9031461501517506,42,51.78016664044775,32.614912208010686,Unnamed mapped road,128.02743901460343,8827.24041646985,True,"بزرگراه استاد پرورش, شهرک روشن شهر, منطقه ۴, روشن دشت, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81583-56944, ایران",شهرک روشن شهر
13,ISF_1828,0.8997814469505926,45,51.7656767864481,32.69495716023992,Unnamed mapped road,30.15928025807765,9162.978130930707,True,"اندوان, منطقه ۱۵, لفتون, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81981-61872, ایران",اندوان
14,ISF_0084,0.8979560307517408,46,51.55870868773165,32.81270943450693,جاده دیسمان,81.54886589458998,21216.293898585252,True,"جاده دیسمان, شهرک صنعتی محمود آباد, منطقه ۱۲, دهستان برخوار غربی, بخش مرکزی شاهین شهر و میمه, شهرستان شاهین شهر و میمه, استان اصفهان, 81611-95851, ایران",منطقه ۱۲
15,ISF_0162,0.8917290698587682,55,51.57389043054467,32.772848475964324,انقلاب,2.4656743690900487,16735.05923959837,True,"انقلاب, محمودآباد, منطقه ۱۲, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81611-95851, ایران",منطقه ۱۲
