candidate_rank,grid_id,predicted_probability,priority_rank,longitude,latitude,nearest_road,snap_distance_m,distance_to_existing_charger_m
1,ISF_1647,0.9605364298554169,1,51.73896526007193,32.59437497694556,بوستان ۵,326.13081198990926,6926.119219775054
2,ISF_0095,0.9571624333434771,2,51.56316898543398,32.750436055716136,رحمانی,13.035218171915743,15229.004035186568
3,ISF_1897,0.9479351551153282,3,51.77909454389984,32.59528842388803,Unnamed mapped road,151.30999112916174,9670.560649010285
4,ISF_2153,0.9471864133294914,5,51.82373497173119,32.65416496512872,شهید مهدی ربانی,1.6729510371124945,12440.645055532801
5,ISF_0984,0.9435215577277017,6,51.659603251711324,32.74550521783724,آزادگان,47.26114491132533,11461.030209959938
6,ISF_0506,0.9339037996912587,8,51.61315996342214,32.75764720728284,امیرکبیر,247.1837829900079,13861.660640178488
7,ISF_0833,0.9332773301881672,9,51.6641426,32.5798397,Unnamed mapped road,1591.8846924551644,1532.1498348438208
8,ISF_1943,0.9332773301881672,10,51.786342796124046,32.66811069848311,Unnamed mapped road,25.548839250619377,9365.296429840511
9,ISF_1493,0.9320802678658746,12,51.72151279727285,32.62092341849074,آبشار سوم (شهید آوینی),501.33358862377696,3350.002754576238
10,ISF_0205,0.9300255279814105,15,51.57715176471466,32.77816785473907,ولی عصر / صنعتی,453.99075996435135,17371.835834893078
11,ISF_1768,0.9296491141994798,16,51.75473489926797,32.67707082386069,Unnamed mapped road,15.0100995429994,7133.380057905783
12,ISF_0941,0.925565397319036,19,51.660995720975144,32.552525314042086,پاسداران,331.9843906964686,4331.92608988043
13,ISF_1197,0.909279313587501,26,51.6820097,32.7428812,جاده ورزشگاه نقش جهان,298.70710362536227,11558.871619352922
14,ISF_0312,0.9078640728927118,28,51.586847437154105,32.595747226990895,Unnamed mapped road,776.5663977370964,5770.724449224801
15,ISF_1997,0.9070620818480153,33,51.78865559143575,32.638709543281315,بزرگراه استاد پرورش,819.6295996133078,9845.438111645686
