random_seed,fold,held_out_city,roc_auc,pr_auc,top_20_percent_precision
11,1,AMS,0.4790660225442834,0.24890997129458686,0.16666666666666666
11,2,JHB,0.5833333333333334,0.3945943762120233,0.25
11,3,LOA,0.4685019841269842,0.25272917024580266,0.21875
11,4,MEL,0.5978260869565217,0.26719259672158224,0.25
11,5,SPO,0.626984126984127,0.338973063973064,0.3333333333333333
42,1,AMS,0.47987117552334946,0.24741464618072906,0.16666666666666666
42,2,JHB,0.6111111111111112,0.40086174242424244,0.375
42,3,LOA,0.4766865079365079,0.25920289718459966,0.21875
42,4,MEL,0.5996376811594203,0.2701765151055931,0.25
42,5,SPO,0.6428571428571429,0.36013708513708514,0.5
73,1,AMS,0.4758454106280193,0.24830602457806358,0.1111111111111111
73,2,JHB,0.5972222222222222,0.39023021708683475,0.375
73,3,LOA,0.4918154761904762,0.2686924601652757,0.21875
73,4,MEL,0.5869565217391305,0.26226931513346075,0.25
73,5,SPO,0.6428571428571428,0.3528619528619529,0.5
101,1,AMS,0.4879227053140096,0.25414760188704455,0.16666666666666666
101,2,JHB,0.6018518518518519,0.3814266494142031,0.25
101,3,LOA,0.4774305555555556,0.25684949643100075,0.21875
101,4,MEL,0.6141304347826086,0.28093160686029894,0.3333333333333333
101,5,SPO,0.6587301587301587,0.3572194374825953,0.5
137,1,AMS,0.4726247987117552,0.24679463231612622,0.1111111111111111
137,2,JHB,0.5740740740740741,0.37216962861699704,0.25
137,3,LOA,0.47693452380952384,0.2544121173430122,0.25
137,4,MEL,0.5887681159420289,0.2748919848210628,0.25
137,5,SPO,0.6507936507936508,0.3621212121212121,0.5
