fold,held_out_city,model,test_grid_cells,spearman_correlation,mae_percentile,actual_high_potential_cells,correctly_retrieved_high_cells,top_20_percent_precision
1,AMS,Median baseline,87,,0.2500651152256384,18,1,0.05555555555555555
1,AMS,Ridge ranking model,87,-0.013818500468290189,0.2498947685324855,18,7,0.3888888888888889
1,AMS,Random forest ranking model,87,0.009716702835882152,0.2570703733510159,18,4,0.2222222222222222
2,JHB,Median baseline,35,,0.24988036593947927,8,2,0.25
2,JHB,Ridge ranking model,35,0.027890686595999473,0.2513973290245256,8,2,0.25
2,JHB,Random forest ranking model,35,-0.04961458821599907,0.25842302639169773,8,0,0.0
3,LOA,Median baseline,158,,0.25012131755442124,32,7,0.21875
3,LOA,Ridge ranking model,158,-0.00027648337529761845,0.25050793687222317,32,9,0.28125
3,LOA,Random forest ranking model,158,0.014860598637812741,0.2624556466555294,32,6,0.1875
4,MEL,Median baseline,58,,0.25,12,2,0.16666666666666666
4,MEL,Ridge ranking model,58,0.15506475129964012,0.25047425579283333,12,2,0.16666666666666666
4,MEL,Random forest ranking model,58,0.0786551416530807,0.2524389049094127,12,4,0.3333333333333333
5,SPO,Median baseline,27,,0.24987411227448733,6,1,0.16666666666666666
5,SPO,Ridge ranking model,27,0.14905317380960592,0.25021032473235166,6,2,0.3333333333333333
5,SPO,Random forest ranking model,27,0.29810634761921184,0.24456021587171234,6,2,0.3333333333333333
