TAZID,station_count,total_chargers,area,perimeter
1000,14,194,3087207.766,7337.7328
1009,11,207,2328654.219,6744.9157
1011,41,332,3421698.003,7673.3309
1015,4,96,3169359.988,7559.4103
102,4,30,714419.3333,3501.2154
1026,5,77,1981578.967,5713.9732
1029,1,36,29682209.72,25724.1136
1031,7,151,4911242.789,9786.1921
104,3,19,1171733.51,4683.8446
1043,6,68,4562149.5,8984.106
1049,4,200,2637266.704,7643.4291
105,12,93,772556.6757,3472.0644
106,6,96,578717.374,3486.9251
1060,5,40,34964720.95,33716.4193
1061,11,99,2035755.887,6325.4674
1062,11,102,2070174.516,6908.7072
1066,8,40,1577892.982,5119.3013
1067,4,49,1524820.262,5840.3244
1068,16,227,1405268.834,5460.2638
107,11,88,888716.949,4445.4393
1071,2,72,1099229.233,4338.1408
1072,6,67,1174176.943,4442.4486
1074,7,62,998873.7796,4162.7267
1075,1,16,1016059.384,4131.9953
1076,5,42,1336615.746,4650.5369
108,5,33,1268992.177,4624.9846
1081,4,47,1065595.451,5217.4998
1082,2,21,596987.5753,3438.4864
1083,2,44,1494891.273,7064.3429
1085,5,59,387839.4781,2688.324
1087,8,70,617467.4387,3330.0106
1088,5,69,765505.0295,3724.5077
109,5,39,3157104.734,8051.7688
1090,1,34,542386.481,3181.3699
1092,1,24,570606.4698,3095.2743
1094,2,18,400380.2503,2758.839
1095,5,29,969860.7402,3980.1424
1096,9,70,1074909.185,4437.0676
1098,7,60,1522271.332,5189.2905
1099,1,18,772798.2404,3707.213
110,11,69,2139446.673,7196.6595
1100,7,69,1056508.867,4376.5473
1102,14,104,1189154.539,4461.4049
1104,3,27,476299.8017,3480.0366
1106,8,22,1266371.368,4911.2637
1107,4,12,787455.8805,3598.8549
1109,10,56,743831.3082,3449.8529
111,11,85,1762254.322,6156.0443
1110,5,33,1179422.049,4901.4687
1111,7,59,1098863.755,5351.4989
1112,1,18,1483434.122,5667.364
1113,9,55,1291398.237,4596.59
1114,6,45,607885.9242,3215.0265
1115,5,62,2249884.217,6047.3355
1119,8,93,1055931.031,5240.9256
1120,10,91,1105138.015,4993.4636
1121,5,37,730623.6121,3785.6008
1124,5,61,1080545.24,5099.8293
1125,2,10,708546.5198,3372.5082
1126,2,24,567423.9043,3394.5563
1130,3,14,549296.809,3038.1568
1134,8,58,966811.3611,4643.0377
1135,6,48,1562618.351,8434.3338
1137,12,130,1666308.726,5460.0825
1138,3,16,909151.7323,6155.1249
1143,3,26,427848.5235,4085.8918
1144,7,68,1848766.702,6422.5536
1149,4,48,1311180.66,5562.7679
115,2,23,725085.3164,4897.8817
1154,3,22,1234770.188,5454.4691
1156,5,30,573553.4717,3200.5969
1159,9,114,1960140.065,6460.5618
1162,2,22,1407688.652,5288.4985
